Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1960,-1.22,0.92,4.01,8.2,13.6,17.56,22.19,23.89,19.95,13.04,8.07,1.39
1961,-2.18,-1.1,3.36,9.8,14.83,18.53,23.61,23.79,21.34,14.53,8.27,2.43
1962,-0.84,-0.16,2.75,9.37,14.19,17.39,22.14,23.45,19.89,12.58,6.97,2.56
1963,-2.29,-1.29,2.84,9.49,14.61,18.17,22.27,22.82,17.94,12.57,7.56,3.01
1964,0.28,-1.81,2.7,10.72,14.6,17.44,22.07,23.83,18.87,12.66,7.02,2.23
1965,-0.54,-0.71,1.43,6.97,13.74,17.8,21.02,23.17,18.33,12.56,7.77,1.68
1966,-1.2,0.83,4.21,8.76,13.47,17.08,21.14,23.46,18.87,13.86,7.43,0.32
1967,-1.81,-0.99,3.65,9.31,15.16,18.5,22.43,24.03,19.11,12.77,7.03,0.6
1968,-0.79,-2.22,3.95,9.26,13.3,17.92,21.71,22.68,18.62,11.95,8.22,4.31
1969,-0.67,-0.45,2.08,9.19,14.22,17.33,21.62,22.8,19.25,12.44,6.91,0.59
1970,-1.88,0.09,0.09,8.38,14.85,17.17,22.22,23.28,20.03,13.47,7.21,1.22
1971,-0.93,-0.31,2.5,8.83,13.41,17.58,22.24,22.73,18.15,12.28,7.23,2.24
1972,1.11,0.19,3.75,9.17,13.83,17.77,21.95,22.92,18.67,13.48,7,2.6
1973,0.56,0.98,2.23,10.29,13.71,17.06,22.71,24.28,18.79,12.79,6.53,0.46
1974,-1.2,-0.79,2.06,9.42,14.29,17.61,20.79,23.16,18.62,13.09,6.09,0.75
1975,-1.11,-1.16,2.65,9.5,13.66,18.02,22.19,23.66,20.79,13.45,8.08,1.3
1976,-1.02,1.19,3.21,8.61,13.88,17.56,21.18,21.81,17.75,12.67,5.93,1.37
1977,-3.17,-2.02,3.58,9.25,13.5,17.71,22.74,22.24,19.88,14.13,8.91,3.14
1978,-0.63,-2.35,2.66,9.06,14.23,19.15,24.32,24.47,19.26,12.76,7.43,2.92
1979,0.21,1.84,3.3,8.25,13.27,19.45,21.26,23.54,19.63,14.5,8.08,3.72
1980,-0.52,-1.75,2.76,8.1,14.25,19.11,20.6,21.05,18.59,13.08,8,1.48
1981,-2.24,-0.88,3.06,9.08,12.9,17.12,22.76,22.61,17.99,12.75,5.4,2.16
1982,-0.78,-0.78,3.95,8.78,15.13,17.44,20.49,23.04,18.51,13.5,8.73,2.97
1983,-0.12,-1.09,2.95,11.19,14.53,16.63,20.59,23.76,19.58,12.63,6.94,1
1984,-2.27,-2.79,0.56,7.74,12.98,19.04,23.07,24.44,18.97,12.57,7.35,1.63
1985,-2.61,0.42,3.26,9.66,14.57,17.26,22.29,24.78,19.55,13.37,7.37,0.69
1986,-2.22,-2.21,2.55,9.23,13.64,17.42,20.5,23.4,19.57,11.84,6.72,2.83
1987,-0.57,0.24,3.38,8.97,14.28,18.44,22.41,22.93,19.13,14.23,7.65,2.45
1988,0.66,-1.38,2.72,9.04,13.59,18.2,20.26,23.48,19.4,12.84,5.82,2.16
1989,1.73,1.64,4.29,9.81,13.62,17.02,21.73,23.62,20,13.18,8.69,2.82
1990,-0.98,2.61,4.84,9.74,14.42,19.23,22.84,24.58,20.49,14.38,9.76,3.97
1991,0.51,-0.05,4.08,10.18,14.37,19.63,22.24,22.45,20,13.99,7.53,3.3
1992,0.88,0.56,4.34,9.75,13.2,17.29,22.03,22.99,19.02,13.35,7.87,3.29
1993,1,1.36,3.22,8.49,13.46,17.38,20.09,21.3,18.53,12.72,8.75,2.61
1994,-0.5,0.59,2.55,10.14,15.3,18.33,24.05,25.45,20.83,14.97,8.63,2.91
1995,-0.32,0.36,3.68,9.51,14.51,17.15,22.71,24.45,19.11,14.75,7.17,1.68
1996,-0.19,-0.6,3.07,7.54,13.41,18.21,22.27,22.97,18.98,13.58,7.87,2.66
1997,0.18,0.54,4.35,9.76,14.49,18.33,22.54,23,19.02,13.1,9.14,3.38
1998,-0.79,1.17,4.57,11.58,15.9,18.12,22.4,23.51,20.78,15.49,7.86,3.3
1999,0.22,0.05,4.28,9.59,14.78,18.96,22.34,24.73,21.57,14.6,8.45,2.48
2000,1.15,-0.86,3.23,9.15,15.02,18.5,23.62,24.53,20.53,14.25,8.14,2.21
2001,-1.37,-0.37,3.64,10.15,15.05,18.75,23.56,23.16,19.21,14.09,7.61,1.46
2002,0.86,1.6,5.63,11.23,14.63,18.16,23.01,23.33,19.66,13.83,5.69,1.57
